name,highway,road_type,lane_count,speed_limit,capacity_vph,fhsz_zone,hazard_degradation,effective_capacity_vph,baseline_demand_vph,vc_ratio,los,connectivity_score,catchment_units,demand_source,catchment_hu,catchment_employees,resident_demand_vph,employee_demand_vph,student_demand_vph,length_meters,lane_count_estimated,speed_estimated,aadt_estimated
Buschmann Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1957.5,1.74,F,1,870.0,catchment_based,1281.0,289.0,1825.425,289.0,0.0,39.21611169401033,True,True,True
Buschmann Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1957.5,1.74,F,1,870.0,catchment_based,1281.0,289.0,1825.425,289.0,0.0,101.52142491839774,True,True,True
,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1685.25,1.498,F,1,749.0,catchment_based,1448.0,335.0,2063.3999999999996,335.0,0.0,91.27023238437116,True,True,True
Kilcrease Circle,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1685.25,1.498,F,1,749.0,catchment_based,1184.0,237.0,1687.1999999999998,237.0,0.0,35.54377980053501,True,True,True
,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1685.25,1.498,F,1,749.0,catchment_based,1448.0,335.0,2063.3999999999996,335.0,0.0,91.27023238437116,True,True,True
Sean Court,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1685.25,1.498,F,1,749.0,catchment_based,1184.0,237.0,1687.1999999999998,237.0,0.0,343.3880661539034,True,True,True
Kilcrease Circle,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1685.25,1.498,F,1,749.0,catchment_based,1184.0,237.0,1687.1999999999998,237.0,0.0,34.15311134229593,True,True,True
Kibler Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,985.5,0.876,E,1,438.0,catchment_based,1084.0,200.0,1544.6999999999998,200.0,0.0,60.94336434506377,True,True,True
Kibler Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,985.5,0.876,E,1,438.0,catchment_based,1487.0,224.0,2118.975,224.0,0.0,48.231044249532424,True,True,True
Young Avenue,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,985.5,0.876,E,1,438.0,catchment_based,1687.0,158.0,2403.975,158.0,0.0,40.51551576057967,True,True,True
Young Avenue,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,985.5,0.876,E,1,438.0,catchment_based,2380.0,401.0,3391.4999999999995,401.0,0.0,206.52091802933555,True,True,True
Elliott Road,tertiary,two_lane,1,30,1350.0,non_fhsz,1.0,1350.0,1305.0,0.9666666666666667,F,1,580.0,catchment_based,1182.0,697.0,1684.35,697.0,0.0,31.9724798094143,True,False,True
Elliott Road,tertiary,two_lane,1,30,1350.0,vhfhsz,0.35,472.49999999999994,1305.0,0.9666666666666667,F,1,580.0,catchment_based,1182.0,697.0,1684.35,697.0,0.0,341.8416512902945,True,False,True
Maxwell Drive,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,2085.75,1.854,F,2,927.0,catchment_based,1182.0,697.0,1684.35,697.0,0.0,253.66912596143132,True,True,True
Foster Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,2967.75,2.638,F,3,1319.0,catchment_based,38.0,1014.0,54.15,1014.0,0.0,40.116651620785625,True,True,True
Foster Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,2967.75,2.638,F,3,1319.0,catchment_based,38.0,1014.0,54.15,1014.0,0.0,403.3627691667569,True,True,True
Stark Lane,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,634.5,0.564,D,1,282.0,catchment_based,718.0,165.0,1023.1499999999999,165.0,0.0,315.1857859372564,True,True,True
Stark Lane,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,634.5,0.564,D,1,282.0,catchment_based,718.0,165.0,1023.1499999999999,165.0,0.0,489.4118872325577,True,True,True
Roberts Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,594.0,0.528,D,1,264.0,catchment_based,646.0,113.0,920.55,113.0,0.0,92.20267761504847,True,True,True
Roberts Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,594.0,0.528,D,1,264.0,catchment_based,646.0,113.0,920.55,113.0,0.0,333.5886560473379,True,True,True
Foster Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,2967.75,2.638,F,3,1319.0,catchment_based,1890.0,773.0,2693.2499999999995,773.0,0.0,50.378924147474294,True,True,True
Foster Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,2967.75,2.638,F,3,1319.0,catchment_based,1890.0,773.0,2693.2499999999995,773.0,0.0,45.048465552793935,True,True,True
Copeland Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,731.25,0.65,E,1,325.0,catchment_based,2085.0,883.0,2971.1249999999995,883.0,0.0,41.698506856273994,True,True,True
Copeland Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,731.25,0.65,E,1,325.0,catchment_based,2488.0,907.0,3545.3999999999996,907.0,0.0,164.35558530231648,True,True,True
Drayer Drive,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,164.25,0.146,B,1,73.0,catchment_based,508.0,267.0,723.9,267.0,0.0,96.42364502586389,True,True,True
Wagstaff Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,4830.75,4.294,F,5,2147.0,catchment_based,1484.0,184.0,2114.7,184.0,0.0,290.4923340538711,True,True,True
Wagstaff Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,4830.75,4.294,F,5,2147.0,catchment_based,1102.0,169.0,1570.35,169.0,0.0,54.37517598765316,True,True,True
Copeland Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,731.25,0.65,E,1,325.0,catchment_based,1505.0,573.0,2144.625,573.0,0.0,65.65114251512479,True,True,True
Copeland Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,731.25,0.65,E,1,325.0,catchment_based,1505.0,573.0,2144.625,573.0,0.0,229.68572859889414,True,True,True
Bennett Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1183.5,1.052,F,1,526.0,catchment_based,822.0,98.0,1171.35,98.0,0.0,55.33889283238546,True,True,True
Bennett Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1183.5,1.052,F,1,526.0,catchment_based,822.0,98.0,1171.35,98.0,0.0,77.61439432483371,True,True,True
Sawmill Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,528.75,0.47,D,1,235.0,catchment_based,923.0,56.0,1315.2749999999999,56.0,0.0,138.7721229337363,True,True,True
Sawmill Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,528.75,0.47,D,1,235.0,catchment_based,520.0,32.0,740.9999999999999,32.0,0.0,130.4412399496471,True,True,True
Foster Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,2967.75,2.638,F,3,1319.0,catchment_based,1281.0,289.0,1825.425,289.0,0.0,5.9720572562918015,True,True,True
Foster Road,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,2967.75,2.638,F,3,1319.0,catchment_based,1281.0,289.0,1825.425,289.0,0.0,63.457129961485535,True,True,True
Yorkshire Drive,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,621.0,0.552,D,1,276.0,catchment_based,540.0,133.0,769.4999999999999,133.0,0.0,113.75337354882738,True,True,True
Yorkshire Drive,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,621.0,0.552,D,1,276.0,catchment_based,808.0,172.0,1151.3999999999999,172.0,0.0,132.06811304616082,True,True,True
Elliott Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,731.25,0.65,E,1,325.0,catchment_based,1306.0,210.0,1861.0499999999997,210.0,0.0,26.361519105808064,True,True,True
Elliott Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,731.25,0.65,E,1,325.0,catchment_based,1306.0,210.0,1861.0499999999997,210.0,0.0,190.29009998898894,True,True,True
Dean Place,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,978.75,0.87,E,1,435.0,catchment_based,355.0,117.0,505.87499999999994,117.0,0.0,35.80481695858986,True,True,True
Dean Place,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,978.75,0.87,E,1,435.0,catchment_based,355.0,117.0,505.87499999999994,117.0,0.0,35.80481695858986,True,True,True
Dean Place,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,978.75,0.87,E,1,435.0,catchment_based,355.0,117.0,505.87499999999994,117.0,0.0,187.61704974591888,True,True,True
Dean Place,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,978.75,0.87,E,1,435.0,catchment_based,355.0,117.0,505.87499999999994,117.0,0.0,187.61704974591885,True,True,True
Dean Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,978.75,0.87,E,1,435.0,catchment_based,355.0,117.0,505.87499999999994,117.0,0.0,89.00059239657669,True,True,True
Brookhaven Drive,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,659.25,0.586,D,1,293.0,catchment_based,1439.0,506.0,2050.575,506.0,0.0,378.56970129517543,True,True,True
Bennett Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1183.5,1.052,F,1,526.0,catchment_based,822.0,98.0,1171.35,98.0,0.0,144.8800987180704,True,True,True
Bennett Road,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1183.5,1.052,F,1,526.0,catchment_based,822.0,98.0,1171.35,98.0,0.0,55.33889283238546,True,True,True
